body,title,url
"El abogado Javier Melero dedicó tres horas a interrogar a Diego Pérez de los Cobos durante el juicio a la intentona secesionista celebrado en el Tribunal Supremo. Fue el miércoles 6 de marzo de 2019. Melero, que a la postre tuvo más éxito como cronista del juicio que como defensor del exconsejero Joaquim Forn, recuerda en su libro El encargo (Ariel, 2019) que, después de interrogar al coronel de la Guardia Civil, se fue a cenar “con el ánimo de un futbolista en la inspección de Hacienda”. El abogado, quizás el más brillante de la bancada de la defensa, no fue capaz de pillar en un renuncio a Pérez de los Cobos. El coronel, jefe del dispositivo policial enviado a Cataluña, se sentó ante el tribunal con el objetivo de demostrar que los Mossos favorecieron el referéndum ilegal del 1 de octubre en vez de impedirlo. Recuerda Melero en su libro:", Pérez de los Cobos: La caída del coronel del 1-O,https://elpais.com/espana/2020-05-25/perez-de-los-cobos-la-caida-del-coronel-del-1-o.html
"Entre mis lecturas de cuarentena he vuelto a Suetonio, quien, en su libro capital, Vida de los doce césares, entra en los pasillos mal alumbrados de la historia con paso de espía del pasado, y con diligencia de escritor de nota roja, o de gacetillero de revistas del corazón, busca penetrar los viejos misterios de la vida de los poderosos, sus vicios y excesos, taras familiares, incestos, megalomanías, crímenes, lujuria, avaricia....",Los oscuros pasillos de la historia,https://elpais.com/opinion/2020-05-25/los-oscuros-pasillos-de-la-historia.html
"Un puñado de jóvenes reclaman la atención en el fútbol alemán desde hace algún tiempo y ahora tienen todo el foco sobre ellos. Sin la competencia televisiva de otros campeonatos, la Bundesliga remite durante estas semanas al periodo navideño de la Premier League inglesa, un festín de partidos y atención planetaria cuando las demás ligas descansan. Sus nombres son cada vez más conocidos: Kai Havertz (Bayer Leverkusen), Erlind Haaland (Borussia D...",Los cuatro nuevos jinetes del fútbol alemán,https://elpais.com/deportes/2020-05-25/los-cuatro-nuevos-jinetes-del-futbol-aleman.html
"Desde que Eva mordió la manzana, o eso dicen, las mujeres han sido retratadas aquí y allá como chifladas, manipuladoras, malévolas y propiciadoras de todo tipo de apocalipsis. En especial, en la ficción —las femme fatales que arrastran al hombre a la perdición—, donde el perfil sigue en alza, pese a los cada vez más serios y didácticos intentos por educar al espectador en lo contrario, como ocurre en Dead To Me. En esta serie de Liz Feldman para Netflix sobre dos amigas, asesinas no necesariamente por accidente, se alecciona sabiamente sobre las trampas del lenguaje y la facilidad con la que a una mujer se le da por loca.",A sangre fría en versión femenina,https://elpais.com/cultura/2020-05-25/a-sangre-fria-en-version-femenina.html
The Spanish government is planning on lifting the two-week coronavirus quarantine requirement for overseas arrivals on July 1. The decision was taken at an inter-ministerial meeting held today via video conference call.,Spain will lift two-week coronavirus quarantine for overseas arrivals from July 1,https://english.elpais.com/economy_and_business/2020-05-25/spain-will-lift-two-week-quarantine-on-overseas-arrivals-from-july-1.html
"Pienso, por ejemplo, en el Biloxi Queen, uno de los primeros tanqueros de la Standard Oil que, zarpando de Galveston, Texas, llegó a Venezuela en noviembre de 1918, justo en mitad de otra pandemia, la de gripe española, que atacó al país bajo otra dictadura, la del general Juan Vicente Gómez. En Maracaibo los hospitales registraban 50 muertes cada día; cabe suponer que debieron ser muchos más....",Tanqueros,https://elpais.com/opinion/2020-05-25/tanqueros.html
"Puestos a dar sorpresas y marcar comportamientos únicos, la crisis de la covid-19 ha provocado la mayor salida de flujos de dinero de los países con economías emergentes, según el Instituto Internacional de Finanzas. Una huida que lleva aparejada caídas en sus mercados, especialmente de bonos, depreciación fuerte de sus dividas y, cómo no, también oportunidades de inversión.",Países emergentes: coger un cuchillo en caída libre,https://elpais.com/economia/2020-05-24/paises-emergentes-coger-un-cuchillo-en-caida-libre.html
"Hace dos meses escuchábamos cosas como “hay que invertir en ciencia” o “la investigación es fundamental para vencer a la pandemia”. Pero también se publicaba que “los datos están mal”, “ni los científicos saben qué hacer”, “nos están engañando con los datos”,... Lamentablemente, ahora ya hemos llegado a “los científicos nos engañan”, incluso con insultos y descalificaciones vertiéndose desde algunas instituciones, fuerzas sociales y medios de comunicación que manejan a su antojo, y con desconocimiento, el concepto de ciencia y afirman, irresponsablemente, cosas no probadas.",Los científicos no paran de equivocarse,https://elpais.com/ciencia/2020-05-25/los-cientificos-no-paran-de-equivocarse.html
"“Recesión es cuando tu vecino pierde su empleo, depresión es cuando lo pierdes tú”.“Recesión es cuando tu vecino pierde su empleo, depresión es cuando lo pierdes tú”.El edificio del Massachusetts Institute of Technology (MIT) donde tiene lugar la primera parte de esta entrevista aún parecía ajeno, aquel 12 de marzo, a la tormenta global desatada por la pandemia del coronavirus, que ha puesto la vida y la economía patas arriba. Los estudiantes campaban por los pasillos con aire despreocupado, aunque alguna mascarilla alertaba de que algo no iba bien. Al llegar al despacho de la profesora Inicia sesión para seguir leyendoSólo con tener una cuenta ya puedes leer este artículo, es gratisRegístrateIniciar SesiónGracias por leer EL PAÍS",Esther Duflo: “Las máquinas no enferman. Temo que esta crisis lleve a una mayor automatización”,https://elpais.com/ideas/2020-05-23/esther-duflo-las-maquinas-no-enferman-temo-que-esta-crisis-lleve-a-una-mayor-automatizacion.html
"Estados Unidos prohibió el domingo la entrada de viajeros procedentes de Brasil por el riesgo de que aceleren los contagios de coronavirus en el país. La medida se toma el día en que Brasil se ha convertido oficialmente en el segundo país del mundo con más casos confirmados de la covid-19, solo por detrás de Estados Unidos. El veto a Brasil se suma a los que ya están en vigor para viajeros procedentes de China, Irán, la UE y el Reino Unido.",Estados Unidos prohíbe la entrada de viajeros desde Brasil por el coronavirus,https://elpais.com/sociedad/2020-05-25/estados-unidos-prohibe-la-entrada-de-viajeros-desde-brasil-por-el-coronavirus.html
