body,title,url
"Desde el año pasado la Conmebol determinó que las finales de la Copa Libertadores y Sudamericana se definirán con una final única, al igual que sucede en las competiciones europeas, y no a ida y vuelta como era tradicionalmente. Esta semana, las asociaciones miembros presentaron a las ciudades postulantes para ser sedes de las finales continentales de los años 2021, 2022 y 2023.","
                        Colombia se postuló para ser sede de las finales continentales de clubes en 2023
                    ",https://www.semana.com/deportes/articulo/colombia-se-postulo-para-ser-sede-de-las-finales-continentales-de-clubes-en-2023/673826
"Según Iván Simonovis, comisionado especial de Seguridad e Inteligencia del Gobierno interino de Juan Guaidó, aseguró que infiltraron uno de los colectivos del chavismo y pudieron seguir la pista del disidente colombiano Jesús Santrich.","
                        Las pruebas de la supuesta presencia de Jesús Santrich en Venezuela
                    ",https://www.semana.com/nacion/articulo/fotos-que-comprobarian-presencia-de-jesus-santrich-en-venezuela/673796
"Camilo Bula, el único condenado por la corrupción en la Dirección Nacional de Estupefacientes (DNE), dijo en una entrevista radial en 2015 que imploraba a los medios de comunicación que no dejaran que la justicia se arrodillara frente a la corrupción de esa institución, y predijo que todos, menos él, quedarían impunes. Esta semana el Tribunal Superior de Cundinamarca declaró inocente a Carlos Albornoz, el exdirector de esa institución. ¿Será casualidad que, en medio de la conmoción generada por la covid-19, los corruptos y sus abogados acumulen tantos éxitos judiciales?",,https://www.semana.com/opinion/articulo/justicia-ciega-carlos-albornoz-declarado-inocente-por-juan-ricardo-ortega/673564
"Un gol del colombiano Jhon Córdoba en el descuento final permitió al Colonia conseguir un empate agónico (2-2) en su derbi ante el Fortuna Düsseldorf, este domingo en el cierre de la 27ª jornada de la Bundesliga.","
                        En video: el gol salvador del colombiano Jhon Córdoba en el último minuto
                    ",https://www.semana.com/deportes/articulo/en-video-el-gol-salvador-del-colombiano-jhon-cordoba-en-el-ultimo-minuto/673738
"""Pensaba que iba a morir. Había ratos que me ahogaba tanto que no reaccionaba"", musita con un hilo de voz Rosa María Fernández, una paciente española de covid-19 que, a sus 71 años, tiene que aprender de nuevo a vivir.","
                        La lucha de mujer de 71 años tras más de un mes en la clínica por coronavirus
                    ",https://www.semana.com/coronavirus/articulo/relato-de-mujer-de-71-anos-que-se-recupero-del-coronavirus/673758
"

window.addEventListener(""message"", function(event) {if(height = event.data[""height""]) {$(""iframe#""+event.data[""id""]).css(""height"", (height + 50) + ""px"")}});

","
                        Minuto a minuto: van más de 344.000 muertos en el mundo por coronavirus
                    ",https://www.semana.com/mundo/articulo/minuto-a-minuto-van-mas-de-344000-muertos-en-el-mundo-por-coronavirus/653650
Luis Carlos Vélez: ¿Alguna vez la Fiscalía había hecho un trabajo como el de las investigaciones por coronavirus? ,"
                        “Vamos a lograr condenas de personas elegidas popularmente seis meses después de llegar a los cargos”
                    ",https://www.semana.com/nacion/articulo/francisco-barbosa-habla-con-luis-carlos-velez-sobre-corrupcion/673568
"Un video en el que Fabio Zuleta, locutor de la emisora emisora 1050 AM en Valledupar, naturaliza la explotación sexual de mujeres indígenas wayúu, no deja de causar revuelo en el país.","
                        ""Tenemos valor, no precio"": continúa indignación por entrevista de Fabio Zuleta
                    ",https://www.semana.com/nacion/articulo/respuestas-a-fabio-zuleta-por-acordar-explotacion-sexual-en-programa-de-radio/673798
"Un terremoto de magnitud 5,6 sacudió la Isla Norte de Nueva Zelanda este lunes por la mañana, pero no logró que la primera ministra, Jacinda Ardern, perdiera la compostura durante una entrevista en directo por televisión.","
                        La reacción de primera ministra de Nueva Zelanda en terremoto durante entrevista
                    ",https://www.semana.com/mundo/articulo/video-de-primera-ministra-de-nueva-zelanda-en-entrevista-durante-terremoto/673763
"Luego de que la Fiscalía confirmara este fin de semana que encontró elementos suficientes para imputar a la exrectora de la Universidad Autónoma del Caribe Silvia Gette Ponce como presunta responsable del homicidio del arquitecto y ganadero Fernando Cepeda Vargas, se conocieron las pruebas del ente acusador en el caso.","
                        Las pruebas de la Fiscalía contra Silvia Gette por homicidio de ganadero
                    ",https://www.semana.com/nacion/articulo/resumen-del-caso-de-silvia-gette-por-homicidio-de-fernando-cepeda/673750
